"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"25",0,0,0.25,0,0,0,0,0.5,0.25,0,0,0.25,0.125,0.125,0.625,0,0,0.25,0.125,0.625,0.1875,0.0625,0.0625,0.1875,1.125,0.3125,0.3125,0,0.375,0.1875,0.65625,0.59375,0.125,0.125,0.1875,0.125,0.28125,0.25,0.1875,0.34375
"26",0.25,0,0.25,0,0.25,0,0,0.25,0,0,0.5,0.125,0.25,0.125,0.5,0,0.125,0.25,0,0.125,0.25,0.125,0.375,0.1875,0.3125,1,0.0625,0.0625,0.0625,0.125,0.21875,0.21875,0.125,0.25,0.5625,0.28125,0.125,0.125,0.6875,0.0625
"27",0,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.125,0,0,0.125,0.5,0,0.125,0.125,0.5,0.0625,0.25,0,0.0625,0.3125,0.0625,1,0.25,0.3125,0.0625,0.1875,0.28125,0.15625,0.03125,0.15625,0.03125,0.1875,0.53125,0.03125,0.65625
"28",0,0,0,0.25,0.25,0.25,0.25,0,0,0,0.125,0,0.125,0.125,0,0.5,0.5,0.125,0.125,0,0.125,0.3125,0.125,0.0625,0,0.0625,0.25,1,0.0625,0.0625,0.03125,0.15625,0.1875,0.09375,0.1875,0.09375,0.0625,0.15625,0.09375,0.15625
"29",0,0,0,0,0,0,0.25,0.25,0.5,0,0,0.125,0,0.125,0.125,0,0.125,0.125,0.625,0.625,0.0625,0,0,0.0625,0.375,0.0625,0.3125,0.0625,1.125,0.125,0.25,0.1875,0.0625,0.0625,0.03125,0.03125,0.59375,0.1875,0.03125,0.71875
"30",0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0.5,0.125,0.5,0.25,0,0.125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.3125,0.1875,0.125,0.0625,0.0625,0.125,1,0.59375,0.125,0.53125,0.53125,0.09375,0.1875,0.21875,0.1875,0.09375,0.09375
"31",0,0.125,0.25,0,0,0,0.125,0.375,0.125,0,0,0.375,0.125,0.3125,0.4375,0,0.0625,0.1875,0.125,0.375,0.15625,0.0625,0.0625,0.25,0.65625,0.21875,0.1875,0.03125,0.25,0.59375,1.09375,0.359375,0.328125,0.328125,0.140625,0.15625,0.25,0.21875,0.140625,0.21875
"32",0,0,0.25,0.125,0.125,0.125,0,0.25,0.125,0,0.0625,0.125,0.3125,0.125,0.375,0.25,0.0625,0.1875,0.0625,0.3125,0.25,0.53125,0.1875,0.21875,0.59375,0.21875,0.28125,0.15625,0.1875,0.125,0.359375,1.03125,0.328125,0.15625,0.375,0.203125,0.203125,0.25,0.203125,0.234375
"33",0,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0,0,0.0625,0.25,0.3125,0.3125,0.1875,0.25,0.125,0.125,0.0625,0.0625,0.21875,0.53125,0.1875,0.28125,0.125,0.125,0.15625,0.1875,0.0625,0.53125,0.328125,0.328125,1.03125,0.359375,0.328125,0.234375,0.171875,0.21875,0.15625,0.109375
"34",0.125,0.125,0.25,0,0.25,0,0.125,0.125,0,0,0.3125,0.25,0.375,0.3125,0.1875,0,0.1875,0.1875,0.0625,0.0625,0.28125,0.1875,0.59375,0.3125,0.125,0.25,0.03125,0.09375,0.0625,0.53125,0.328125,0.15625,0.359375,1.03125,0.21875,0.453125,0.1875,0.171875,0.421875,0.046875
"35",0.125,0,0.25,0.125,0.25,0.125,0,0.125,0,0,0.3125,0.0625,0.375,0.125,0.3125,0.25,0.125,0.1875,0,0.0625,0.28125,0.5625,0.34375,0.21875,0.1875,0.5625,0.15625,0.1875,0.03125,0.09375,0.140625,0.375,0.328125,0.21875,1.0625,0.28125,0.125,0.1875,0.453125,0.09375
"36",0.125,0.125,0.25,0,0.375,0,0,0.125,0,0,0.375,0.25,0.5625,0.125,0.1875,0,0.1875,0.25,0,0.0625,0.40625,0.28125,0.71875,0.65625,0.125,0.28125,0.03125,0.09375,0.03125,0.1875,0.15625,0.203125,0.234375,0.453125,0.28125,1.15625,0.34375,0.34375,0.5,0.03125
"37",0,0.125,0.125,0,0.125,0,0.125,0.25,0.25,0,0.0625,0.3125,0.25,0.125,0.1875,0,0.125,0.1875,0.3125,0.375,0.21875,0.125,0.15625,0.53125,0.28125,0.125,0.1875,0.0625,0.59375,0.21875,0.25,0.203125,0.171875,0.1875,0.125,0.34375,1.03125,0.359375,0.140625,0.390625
"38",0,0.125,0.125,0.125,0.125,0.125,0,0.25,0.125,0,0.0625,0.3125,0.25,0.0625,0.1875,0.25,0.0625,0.1875,0.0625,0.3125,0.21875,0.25,0.15625,0.53125,0.25,0.125,0.53125,0.15625,0.1875,0.1875,0.21875,0.25,0.21875,0.171875,0.1875,0.34375,0.359375,1.03125,0.140625,0.359375
"39",0.25,0,0.25,0,0.375,0,0,0.125,0,0,0.5625,0.0625,0.4375,0.125,0.3125,0,0.1875,0.25,0,0.0625,0.34375,0.21875,0.75,0.25,0.1875,0.6875,0.03125,0.09375,0.03125,0.09375,0.140625,0.203125,0.15625,0.421875,0.453125,0.5,0.140625,0.140625,1.1875,0.03125
"40",0,0,0,0.125,0,0.125,0.125,0.25,0.375,0,0,0.125,0,0.0625,0.125,0.25,0.0625,0.125,0.375,0.5625,0.0625,0.125,0,0.0625,0.34375,0.0625,0.65625,0.15625,0.71875,0.09375,0.21875,0.234375,0.109375,0.046875,0.09375,0.03125,0.390625,0.359375,0.03125,1.15625
